scientific.name,scientific.name.new,english.name,english.name.new,deutscher.name,DDA_Kuerzel,western_palearctic,middle_europe,baden_wuerttemberg,bavarian_forest,voslappergroden,neerie,neerie_live,ICE_Werk_live,Ziegenmelker_Zwergohreule_Wallis,eastern_palearctic,Südostasien,Autor,Brutverbreitung,birdnet.names,comName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyCode,familyComName,familySciName,reportAs,extinct,extinctYear
Pooecetes gramineus,NA,Vesper Sparrow,NA,Abendammer,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gmelin, JF, 1789)","NA: w, n",Pooecetes gramineus_Vesper Sparrow,Vesper Sparrow,vesspa,species,32128,VESP,NA,POGR,Passeriformes,passer3,New World Sparrows,Passerellidae,NA,NA,NA
Calidris falcinellus,NA,Broad-billed Sandpiper,NA,Sumpfläufer,,1,2,2,2,2,2,,,NA,1,1,,,Calidris falcinellus_Broad-billed Sandpiper,Broad-billed Sandpiper,brbsan,species,5912,BBIS,BBSA,CAFA,Charadriiformes,scolop2,Sandpipers and Allies,Scolopacidae,NA,NA,NA
Coccothraustes vespertinus,Hesperiphona vespertina,Evening Grosbeak,NA,Abendkernbeißer,,3,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"NA, MA: Kanada bis sw Mexiko",Coccothraustes vespertinus_Evening Grosbeak,Evening Grosbeak,evegro,species,31032,EVGR,NA,COVE,Passeriformes,fringi1,"Finches, Euphonias, and Allies",Fringillidae,NA,NA,NA
Otus senegalensis,NA,African Scops-Owl,NA,Afrika-Zwergohreule,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Swainson, 1837)",NA,Otus senegalensis_African Scops-Owl,African Scops-Owl,afsowl1,species,8335,NA,"ASOW,AFSO",OTSE,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Turdus pelios,NA,African Thrush,NA,Afrikadrossel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Bonaparte, 1850","AF: w, z",Turdus pelios_African Thrush,African Thrush,afrthr1,species,27696,NA,AFTH,TUPE,Passeriformes,turdid1,Thrushes and Allies,Turdidae,NA,NA,NA
Strix woodfordii,NA,African Wood-Owl,NA,Afrikakauz,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Smith, A, 1834)",NA,Strix woodfordii_African Wood-Owl,African Wood-Owl,afwowl1,species,8799,NA,"AWOW,AFWO",STWO,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Saxicola torquatus,NA,African Stonechat,NA,Afrikaschwarzkehlchen,,3,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1766)","AF: SW Arabische Halbinsel, Afrika s der Sahara",Saxicola torquatus_African Stonechat,African Stonechat,afrsto1,species,28691,NA,"CS,AFST,COST",SATO,Passeriformes,muscic3,Old World Flycatchers,Muscicapidae,NA,NA,NA
Thryophilus pleurostictus,NA,Banded Wren,NA,Akazienzaunkönig,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Sclater, PL, 1860)",MA: weit verbreitet,Thryophilus pleurostictus_Banded Wren,Banded Wren,banwre1,species,26599,BANW,BAWR,THPL,Passeriformes,troglo1,Wrens,Troglodytidae,NA,NA,NA
Psittacula eupatria,NA,Alexandrine Parakeet,NA,Alexandersittich,Asi,1,0,NA,NA,NA,NA,,,NA,NA,1,"(Linnaeus, 1766)",OR: Indien bs Südostasien,Psittacula eupatria_Alexandrine Parakeet,Alexandrine Parakeet,alepar2,species,11800,NA,ALPA,PSEU,Psittaciformes,psitta4,Old World Parrots,Psittaculidae,NA,NA,NA
Acanthis cabaret,NA,Lesser Redpoll,NA,Alpenbirkenzeisig,Bz,1,1,1,1,1,2,,,1,1,NA,"(Müller, PLS, 1776)",PAL: Großbritannien bis z Europa,Acanthis cabaret_Lesser Redpoll,Lesser Redpoll,lesred1,species,31428,LERE,RE,ACCA,Passeriformes,fringi1,"Finches, Euphonias, and Allies",Fringillidae,NA,NA,NA
Prunella collaris,NA,Alpine Accentor,NA,Alpenbraunelle,Ab,1,1,2,2,3,NA,,,1,1,NA,"(Scopoli, 1769)","PAL: sw, sz, e, auch nw Afrika",Prunella collaris_Alpine Accentor,Alpine Accentor,alpacc1,species,30442,NA,ALAC,PRCO,Passeriformes,prunel1,Accentors,Prunellidae,NA,NA,NA
Pyrrhocorax graculus,NA,Yellow-billed Chough,NA,Alpendohle,Ad,1,1,2,2,NA,NA,,,1,1,NA,"(Linnaeus, 1766)",NA,Pyrrhocorax graculus_Yellow-billed Chough,Yellow-billed Chough,yebcho1,species,20714,NA,"ALCH,YBC,YBCH",PYGR,Passeriformes,corvid1,"Crows, Jays, and Magpies",Corvidae,NA,NA,NA
Pyrrhocorax pyrrhocorax,NA,Red-billed Chough,NA,Alpenkrähe,,1,1,NA,NA,NA,NA,,,1,1,NA,"(Linnaeus, 1758)","PAL: weit verbreitet, auch nw, ne Afrika",Pyrrhocorax pyrrhocorax_Red-billed Chough,Red-billed Chough,rebcho1,species,20704,NA,RBCH,PYPY,Passeriformes,corvid1,"Crows, Jays, and Magpies",Corvidae,NA,NA,NA
Lagopus muta,NA,Rock Ptarmigan,NA,Alpenschneehuhn,Ash,1,1,NA,NA,NA,NA,,,1,1,NA,"(Montin, 1781)","NA, PAL: n",Lagopus muta_Rock Ptarmigan,Rock Ptarmigan,rocpta1,species,1276,ROPT,NA,LAMU,Galliformes,phasia1,"Pheasants, Grouse, and Allies",Phasianidae,NA,NA,NA
Apus melba,NA,Alpine Swift,NA,Alpensegler,As,1,1,1,1,3,2,,,1,1,1,NA,"PAL, AF: weit verbreitet, auch Indien",Apus melba_Alpine Swift,Alpine Swift,alpswi1,species,3985,ALSW,NA,APME,Caprimulgiformes,apodid1,Swifts,Apodidae,NA,NA,NA
Calidris alpina,NA,Dunlin,NA,Alpenstrandläufer,Asl,1,1,1,1,1,2,,,2,1,NA,"(Linnaeus, 1758)","NA, PAL: n",Calidris alpina_Dunlin,Dunlin,dunlin,species,5923,DUNL,NA,CAAL,Charadriiformes,scolop2,Sandpipers and Allies,Scolopacidae,NA,NA,NA
Cercomacroides laeta,NA,Willis's Antbird,NA,Amazonasameisenfänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Todd, 1920)","SA: nz, se Amazonien, e Brasilien",Cercomacroides laeta_Willis's Antbird,Willis's Antbird,wilant1,species,13300,NA,WIAN,CELA,Passeriformes,thamno3,Typical Antbirds,Thamnophilidae,NA,NA,NA
Chloroceryle amazona,NA,Amazon Kingfisher,NA,Amazonasfischer,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Latham, 1790)","MA, SA: z Mexiko bis z Argentinien",Chloroceryle amazona_Amazon Kingfisher,Amazon Kingfisher,amakin1,species,9788,AMKI,NA,CHAM,Coraciiformes,alcedi1,Kingfishers,Alcedinidae,NA,NA,NA
Momotus momota,NA,Amazonian Motmot,NA,Amazonasmotmot,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1766)",SA: Amazonien,Momotus momota_Amazonian Motmot,Amazonian Motmot,bucmot4,species,9350,NA,AMMO,MOMO,Coraciiformes,momoti1,Motmots,Momotidae,NA,NA,NA
Polioptila plumbea,NA,Tropical Gnatcatcher,NA,Amazonasmückenfänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gmelin, JF, 1788)","MA, SA: s Mexiko bis Peru und ne Brasilien",Polioptila plumbea_Tropical Gnatcatcher,Tropical Gnatcatcher,trogna1,species,26195,TRGN,NA,POPL,Passeriformes,poliop1,Gnatcatchers,Polioptilidae,NA,NA,NA
Laterallus exilis,NA,Gray-breasted Crake,NA,Amazonasralle,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Temminck, 1831)",NA,Laterallus exilis_Gray-breasted Crake,Gray-breasted Crake,grbcra1,species,5513,GBCR,NA,LAEX,Gruiformes,rallid1,"Rails, Gallinules, and Coots",Rallidae,NA,NA,NA
Trogon ramonianus,NA,Amazonian Trogon,NA,Amazonastrogon,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Deville & Des Murs, 1849",SA: Amazonien,Trogon ramonianus_Amazonian Trogon,Amazonian Trogon,viotro3,species,9052,NA,"AMTR,VT",TRRA,Trogoniformes,trogon1,Trogons,Trogonidae,NA,NA,NA
